"Estimated Resident Population by Age and Sex (1991+) (Annual-Jun)","","","",""
"","","","Male","Female"
"Number, Magnitude = Units"
""
"Footnotes:"
"All population estimates at 30 June 2018 and beyond use the 2018-base ERP."
"Estimates flagged as provisional are subject to revision, mainly to incorporate revisions to external (international) migration estimates."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE056AA"
""
"Last updated:"
"0 Years: 16 November 2021 10:45am"
"1 Years: 16 November 2021 10:45am"
"2 Years: 16 November 2021 10:45am"
"3 Years: 16 November 2021 10:45am"
"4 Years: 16 November 2021 10:45am"
"5 Years: 16 November 2021 10:45am"
"6 Years: 16 November 2021 10:45am"
"7 Years: 16 November 2021 10:45am"
"8 Years: 16 November 2021 10:45am"
"9 Years: 16 November 2021 10:45am"
"10 Years: 16 November 2021 10:45am"
"11 Years: 16 November 2021 10:45am"
"12 Years: 16 November 2021 10:45am"
"13 Years: 16 November 2021 10:45am"
"14 Years: 16 November 2021 10:45am"
"15 Years: 16 November 2021 10:45am"
"16 Years: 16 November 2021 10:45am"
"17 Years: 16 November 2021 10:45am"
"18 Years: 16 November 2021 10:45am"
"19 Years: 16 November 2021 10:45am"
"20 Years: 16 November 2021 10:45am"
"21 Years: 16 November 2021 10:45am"
"22 Years: 16 November 2021 10:45am"
"23 Years: 16 November 2021 10:45am"
"24 Years: 16 November 2021 10:45am"
"25 Years: 16 November 2021 10:45am"
"26 Years: 16 November 2021 10:45am"
"27 Years: 16 November 2021 10:45am"
"28 Years: 16 November 2021 10:45am"
"29 Years: 16 November 2021 10:45am"
"30 Years: 16 November 2021 10:45am"
"31 Years: 16 November 2021 10:45am"
"32 Years: 16 November 2021 10:45am"
"33 Years: 16 November 2021 10:45am"
"34 Years: 16 November 2021 10:45am"
"35 Years: 16 November 2021 10:45am"
"36 Years: 16 November 2021 10:45am"
"37 Years: 16 November 2021 10:45am"
"38 Years: 16 November 2021 10:45am"
"39 Years: 16 November 2021 10:45am"
"40 Years: 16 November 2021 10:45am"
"41 Years: 16 November 2021 10:45am"
"42 Years: 16 November 2021 10:45am"
"43 Years: 16 November 2021 10:45am"
"44 Years: 16 November 2021 10:45am"
"45 Years: 16 November 2021 10:45am"
"46 Years: 16 November 2021 10:45am"
"47 Years: 16 November 2021 10:45am"
"48 Years: 16 November 2021 10:45am"
"49 Years: 16 November 2021 10:45am"
"50 Years: 16 November 2021 10:45am"
"51 Years: 16 November 2021 10:45am"
"52 Years: 16 November 2021 10:45am"
"53 Years: 16 November 2021 10:45am"
"54 Years: 16 November 2021 10:45am"
"55 Years: 16 November 2021 10:45am"
"56 Years: 16 November 2021 10:45am"
"57 Years: 16 November 2021 10:45am"
"58 Years: 16 November 2021 10:45am"
"59 Years: 16 November 2021 10:45am"
"60 Years: 16 November 2021 10:45am"
"61 Years: 16 November 2021 10:45am"
"62 Years: 16 November 2021 10:45am"
"63 Years: 16 November 2021 10:45am"
"64 Years: 16 November 2021 10:45am"
"65 Years: 16 November 2021 10:45am"
"66 Years: 16 November 2021 10:45am"
"67 Years: 16 November 2021 10:45am"
"68 Years: 16 November 2021 10:45am"
"69 Years: 16 November 2021 10:45am"
"70 Years: 16 November 2021 10:45am"
"71 Years: 16 November 2021 10:45am"
"72 Years: 16 November 2021 10:45am"
"73 Years: 16 November 2021 10:45am"
"74 Years: 16 November 2021 10:45am"
"75 Years: 16 November 2021 10:45am"
"76 Years: 16 November 2021 10:45am"
"77 Years: 16 November 2021 10:45am"
"78 Years: 16 November 2021 10:45am"
"79 Years: 16 November 2021 10:45am"
"80 Years: 16 November 2021 10:45am"
"81 Years: 16 November 2021 10:45am"
"82 Years: 16 November 2021 10:45am"
"83 Years: 16 November 2021 10:45am"
"84 Years: 16 November 2021 10:45am"
"85 Years: 16 November 2021 10:45am"
"86 Years: 16 November 2021 10:45am"
"87 Years: 16 November 2021 10:45am"
"88 Years: 16 November 2021 10:45am"
"89 Years: 16 November 2021 10:45am"
"90 Years: 16 November 2021 10:45am"
"91 Years: 16 November 2021 10:45am"
"92 Years: 16 November 2021 10:45am"
"93 Years: 16 November 2021 10:45am"
"94 Years: 16 November 2021 10:45am"
"95 Years and Over: 16 November 2021 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
